model number,machine code,Description,Is IDU,Price,AHRI,EER,SEER,HSPF,EER2,SEER2,HSPF2-4,HSPF2-5,Btu@95min,Btu@95rated,Btu@95max,kW@95min,kW@95rated,kW@95max,COP@95min,COP@95rated,COP@95max,Btu@82min,Btu@82rated,Btu@82max,kW@82min,kW@82rated,kW@82max,COP@82min,COP@82rated,COP@82max,Btu@47min,Btu@47rated,Btu@47max,kW@47min,kW@47rated,kW@47max,COP@47min,COP@47rated,COP@47max,Btu@17min,Btu@17rated,Btu@17max,kW@17min,kW@17rated,kW@17max,COP@17min,COP@17rated,COP@17max,Btu@5min,Btu@5rated,Btu@5max,kW@5min,kW@5rated,kW@5max,COP@5min,COP@5rated,COP@5max,Btu@lowest min,Btu@lowest rated,Btu@lowest max,kW@lowest min,kW@lowest rated,kW@lowest max,COP@lowest min,COP@lowest rated,COP@lowest max,lowest temperature
KW24HQ17SDO,2417O,KINGHOME MINI SPLIT ODU 208-230V 60Hz 24k BTU,0,712.8,208141285,11.60 ,18.00 ,10.00 ,11.60 ,18.00 ,8.50 ,6.60 ,6824.00 ,22000.00 ,25249.00 ,0.44 ,1.90 ,2.50 ,4.55 ,3.39 ,2.96 ,7460.00 ,-999999.00 ,27120.00 ,0.46 ,-999999.00 ,2.56 ,4.75 ,-999999.00 ,3.10 ,5630.00 ,24000.00 ,26614.00 ,0.44 ,2.05 ,2.40 ,3.75 ,3.43 ,3.25 ,10210.00 ,19200.00 ,19300.00 ,1.16 ,2.26 ,2.35 ,2.58 ,2.49 ,2.41 ,8200.00 ,15000.00 ,15000.00 ,1.01 ,2.51 ,2.51 ,2.38 ,1.75 ,1.75 ,7620.00 ,-999999.00 ,12020.00 ,1.03 ,-999999.00 ,1.67 ,2.38 ,-999999.00 ,1.75 ,-13.00 
KW24HQ19SDI,2419I,KINGHOME MINI SPLIT IDU 208-230V 60Hz 24k BTU,1,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW24HQ19SDO,2419O,KINGHOME MINI SPLIT ODU 208-230V 60Hz 24k BTU,0,735.9,212396485,11.60 ,18.00 ,8.50 ,11.60 ,18.00 ,8.50 ,6.60 ,6824.00 ,22000.00 ,25249.00 ,0.44 ,1.90 ,2.50 ,4.55 ,3.39 ,2.96 ,7460.00 ,-999999.00 ,27120.00 ,0.46 ,-999999.00 ,2.56 ,4.75 ,-999999.00 ,3.10 ,5630.00 ,24000.00 ,26614.00 ,0.44 ,2.05 ,2.40 ,3.75 ,3.43 ,3.25 ,10210.00 ,19200.00 ,19300.00 ,1.16 ,2.26 ,2.35 ,2.58 ,2.49 ,2.41 ,8200.00 ,15000.00 ,15000.00 ,1.01 ,2.51 ,2.51 ,2.38 ,1.75 ,1.75 ,7620.00 ,-999999.00 ,12020.00 ,1.03 ,-999999.00 ,1.67 ,2.38 ,-999999.00 ,1.75 ,-13.00 
KW24HQ25SDI,24I,KINGHOME MINI SPLIT IDU 208-230V 60Hz 24k BTU,1,364.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW24HQ25SDO,24O,KINGHOME MINI SPLIT ODU 208-230V 60Hz 24k BTU,0,792,209847251,13.00 ,24.00 ,11.00 ,13.10 ,24.50 ,9.50 ,7.50 ,3400.00 ,22000.00 ,28500.00 ,0.30 ,1.69 ,2.60 ,3.32 ,3.82 ,3.21 ,4800.00 ,-999999.00 ,33200.00 ,0.30 ,-999999.00 ,2.76 ,4.69 ,-999999.00 ,3.53 ,4300.00 ,24000.00 ,30000.00 ,0.28 ,1.85 ,3.10 ,4.50 ,3.80 ,2.84 ,5570.00 ,19400.00 ,22000.00 ,0.48 ,1.98 ,3.05 ,3.40 ,2.87 ,2.11 ,3400.00 ,16100.00 ,16100.00 ,0.40 ,2.69 ,2.69 ,2.49 ,1.75 ,1.75 ,1720.00 ,-999999.00 ,13500.00 ,0.22 ,-999999.00 ,2.44 ,2.29 ,-999999.00 ,1.62 ,-20.00 
KW30HQ20SDI,30I,KINGHOME MINI SPLIT IDU 208-230V 60Hz 30k BTU,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW30HQ20SDO,30O,KINGHOME MINI SPLIT ODU 208-230V 60Hz 30k BTU,0,1383.8,211164219,11.25 ,19.00 ,10.00 ,11.25 ,20.00 ,8.50 ,7.50 ,7780.00 ,30000.00 ,33000.00 ,0.65 ,2.67 ,3.25 ,3.51 ,3.29 ,2.98 ,13000.00 ,,31500.00 ,0.55 ,,2.23 ,6.93 ,,4.14 ,9100.00 ,30000.00 ,30800.00 ,0.65 ,2.59 ,3.00 ,4.10 ,3.39 ,3.01 ,8500.00 ,24000.00 ,27000.00 ,1.35 ,2.68 ,3.80 ,1.85 ,2.62 ,2.08 ,7500.00 ,23200.00 ,23200.00 ,1.30 ,3.76 ,3.76 ,1.69 ,1.81 ,1.81 ,6100.00 ,,16900.00 ,1.30 ,,3.80 ,1.38 ,,1.30 ,-13.00 
KW36HQ20SDI,36I,KINGHOME MINI SPLIT IDU 208-230V 60Hz 36k BTU,1,482.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW36HQ20SDO,36O,KINGHOME MINI SPLIT ODU 208-230V 60Hz 36k BTU,0,1139.6,211177527,10.50 ,20.00 ,9.00 ,10.50 ,20.00 ,8.50 ,7.50 ,8000.00 ,33600.00 ,37000.00 ,0.65 ,3.20 ,3.85 ,3.61 ,3.08 ,2.82 ,13000.00 ,-999999.00 ,36000.00 ,0.46 ,-999999.00 ,3.15 ,8.28 ,-999999.00 ,3.35 ,9900.00 ,34600.00 ,34800.00 ,0.60 ,3.20 ,3.40 ,4.84 ,3.17 ,3.00 ,11000.00 ,27800.00 ,28000.00 ,1.75 ,3.13 ,4.05 ,1.84 ,2.60 ,2.03 ,9000.00 ,24400.00 ,24400.00 ,1.65 ,3.87 ,3.87 ,1.60 ,1.85 ,1.85 ,7300.00 ,-999999.00 ,17200.00 ,1.60 ,-999999.00 ,3.60 ,1.34 ,-999999.00 ,1.40 ,-13.00 
KW09XQ19SDI,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
